"Monitoring_Site","Date","Temperature_C"
"309DAV",1999-02-01,14.95
"309SAC",1999-02-01,11.65
"309DAV",1999-03-01,19
"309SAC",1999-03-01,21.1
"309SBR",1999-03-01,15.8
"309SBR",1999-03-29,14.6
"309DAV",1999-04-05,12.75
"309SAC",1999-04-05,10.65
"309SBR",1999-04-26,10.4
"309DAV",1999-05-10,18.3
"309SBR",1999-06-01,17.8
"309DAV",1999-06-03,14.8
"309SAC",1999-06-03,15.6
"309SBR",1999-06-28,21.1
"309SBR",1999-07-06,20.1
"309DAV",1999-07-07,18
"309SAC",1999-07-07,18.25
"309DAV",1999-07-26,18.37
"309SAC",1999-07-26,15.87
"309SBR",1999-07-26,19.1
"309DAV",1999-07-27,17.48
"309SAC",1999-07-27,23.61
"309SBR",1999-07-27,18.2
"309SBR",1999-09-08,18.5
"309SBR",1999-09-27,20.7
"309DAV",1999-09-28,24.55
"309DAV",1999-10-01,16.8
"309SBR",1999-10-06,18.6
"309SBR",1999-11-01,18.9
"309DAV",1999-11-02,14.8
"309DAV",1999-11-30,14.66
"309SAC",1999-11-30,14.305
"309DAV",2000-01-03,12.89
"309SAC",2000-01-03,10.2
"309DAV",2000-01-26,12.185
"309SAC",2000-01-26,14.75
"309SBR",2000-02-07,13.4
"309DAV",2000-02-10,15.18
"309SAC",2000-02-10,13.315
"309SBR",2000-03-07,11.6
"309SAC",2000-04-24,21.28
"309DAV",2000-05-15,22.375
"309SBR",2001-04-26,15.925
"309SBR",2001-05-31,21.495
"309SBR",2001-06-28,20.945
"309SBR",2001-07-06,19.84
"309DAV",2001-07-25,19.46
"309DAV",2001-08-29,17.58
"309DAV",2001-09-18,16.6433333333334
"309DAV",2001-11-13,17.26
"309DAV",2001-12-20,11.88
"309DAV",2002-01-21,6.69
"309DAV",2002-02-25,16.025
"309DAV",2002-03-18,12.2644444444445
"309DAV",2002-04-15,13.6422222222222
"309DAV",2002-05-13,19.0655555555555
"309DAV",2002-06-17,19.535
"309DAV",2002-07-17,18.1088888888889
"309DAV",2002-08-14,19.4288888888889
"309DAV",2002-09-11,17.3533333333333
"309DAV",2002-10-09,15.415
"309DAV",2002-11-12,16.2216666666666
"309DAV",2002-12-11,8.32
"309DAV",2003-02-10,12.0527777777778
"309DAV",2003-03-11,16.28
"309DAV",2004-03-01,11.55
"309DAV",2004-03-29,15.57
"309DAV",2004-05-17,17.81
"309DAV",2004-06-21,18.81
"309DAV",2004-08-03,19.49
"309DAV",2004-08-18,22.869
"309DAV",2004-08-19,20.914
"309DAV",2004-08-31,19.65
"309DAV",2004-10-05,16.22
"309DAV",2004-11-02,13.97
"309DAV",2004-12-09,13.79
"309DAV",2005-01-11,11.35
"309BLA",2005-01-26,14.94
"309SAC",2005-01-27,11.44
"309SSP",2005-01-27,14.215
"309DAV",2005-02-07,12.47
"309BLA",2005-02-16,16.485
"309SAC",2005-02-17,14.355
"309SSP",2005-02-17,13.885
"309BLA",2005-02-22,16.48
"309SAC",2005-02-23,12.675
"309SSP",2005-02-23,12.45
"309DAV",2005-03-09,16.4
"309BLA",2005-03-21,14.325
"309SAC",2005-03-22,15.775
"309SSP",2005-03-22,16.11
"309DAV",2005-04-05,15.77
"309BLA",2005-04-13,13.865
"309SAC",2005-04-14,15.41
"309SSP",2005-04-14,17.235
"309DAV",2005-05-03,18.57
"309BLA",2005-05-24,20.08
"309SAC",2005-05-25,17.9
"309SSP",2005-05-25,18.34
"309DAV",2005-06-01,22.06
"309BLA",2005-06-28,20.3
"309DAV",2005-06-28,20.33
"309SAC",2005-06-29,18.48
"309SSP",2005-06-29,16.94
"309BLA",2005-07-27,20.21
"309SAC",2005-07-27,16.155
"309SSP",2005-07-27,23.345
"309DAV",2005-08-02,25.27
"309BLA",2005-08-30,21.66
"309DAV",2005-08-30,26.74
"309SSP",2005-08-30,26.17
"309DAV",2005-09-08,20.876
"309DAV",2005-09-09,19.7948275862069
"309BLA",2005-09-27,18.405
"309DAV",2005-09-28,18.41
"309BLA",2005-10-25,17.29
"309SAC",2005-10-25,18.9
"309SSP",2005-10-25,18.9
"309DAV",2005-10-26,19.0955555555555
"309DAV",2005-11-21,16.9
"309BLA",2005-11-29,15.145
"309SAC",2005-11-29,14.6
"309SSP",2005-11-29,14.015
"309BLA",2005-12-13,11.355
"309SAC",2005-12-13,12.84
"309SSP",2005-12-13,13.6
"309DAV",2005-12-20,14.6361111111111
"309DAV",2006-01-23,10.68
"309SBR",2006-01-23,16.1711111111111
"309BLA",2006-01-24,14.1
"309SAC",2006-01-24,17.4058333333333
"309SSP",2006-01-24,17.36
"309SAG",2006-01-25,8.98
"309BLA",2006-02-22,18.015
"309SAC",2006-02-23,11.11
"309SAG",2006-02-23,14.665
"309SSP",2006-02-23,9.615
"309DAV",2006-02-27,11.21
"309SBR",2006-02-27,12.1
"309SAC",2006-02-28,13.21
"309SAC",2006-03-27,13.13
"309DAV",2006-03-28,12.13
"309SBR",2006-03-28,13.32
"309BLA",2006-03-29,13.08
"309SAC",2006-03-30,13.85
"309SAG",2006-03-30,14.26
"309SSP",2006-03-30,15.48
"309SAC",2006-04-24,15.04
"309BLA",2006-04-25,13.345
"309DAV",2006-04-25,13.55
"309SAC",2006-04-25,14.435
"309SAG",2006-04-25,14.585
"309SBR",2006-04-25,15.62
"309SSP",2006-04-25,15.21
"309SAC",2006-05-22,17.9716666666666
"309DAV",2006-05-23,18.6
"309SBR",2006-05-23,19.06
"309BLA",2006-05-24,21.67
"309SAC",2006-05-26,18.71
"309SAG",2006-05-26,20.105
"309SSP",2006-05-26,18.455
"309SAC",2006-06-20,18.27
"309DAV",2006-06-21,20.6144444444445
"309SBR",2006-06-21,20.5955555555555
"309BLA",2006-06-27,18.635
"309SAC",2006-06-27,23.035
"309SAG",2006-06-28,20.51
"309SSP",2006-06-28,21.175
"309SAC",2006-07-18,20.3
"309DAV",2006-07-19,20.9
"309SBR",2006-07-19,22.01
"309BLA",2006-07-25,23.03
"309SAC",2006-07-25,27.2
"309SAG",2006-07-25,30.535
"309SSP",2006-07-26,19.69
"309SAC",2006-08-14,23.5237037037037
"309DAV",2006-08-15,16.6638888888889
"309SAC",2006-08-15,17.9465217391304
"309BLA",2006-08-23,20.08
"309SAC",2006-08-24,18.685
"309SAG",2006-08-24,23.945
"309SSP",2006-08-24,16.275
"309DAV",2006-08-30,22.4889285714286
"309DAV",2006-08-31,15.1645
"309DAV",2006-09-20,14.61
"309SBR",2006-09-20,19.3994444444444
"309BLA",2006-09-27,17.655
"309SAC",2006-09-28,14.3
"309SAG",2006-09-28,14.7
"309SSP",2006-09-28,15.99
"309DAV",2006-10-18,14.13
"309SBR",2006-10-18,16.4366666666666
"309BLA",2006-10-24,16.9
"309SAC",2006-10-24,20.3
"309SAG",2006-10-24,23.1
"309SSP",2006-10-24,22.73
"309DAV",2006-11-08,17.1144444444445
"309SBR",2006-11-08,18.0494444444445
"309BLA",2006-11-14,15.325
"309SAC",2006-11-14,15.46
"309SAG",2006-11-14,16.06
"309SSP",2006-11-14,14.555
"309SAC",2006-12-11,9.375
"309BLA",2006-12-12,10.575
"309DAV",2006-12-12,11.955
"309SBR",2006-12-12,11.085
"309SAC",2006-12-13,13.245
"309SAG",2006-12-13,12.255
"309SSP",2006-12-13,12.91
"309DAV",2007-01-08,11.0833333333333
"309SBR",2007-01-08,12.4861111111111
"309SAC",2007-01-09,10.4872222222222
"309BLA",2007-01-30,12.39
"309SAC",2007-01-30,14.245
"309SAG",2007-01-30,15.95
"309SSP",2007-01-31,12.73
"309SAC",2007-02-13,14.3627777777778
"309BLA",2007-02-14,16.025
"309DAV",2007-02-14,14.0033333333333
"309SBR",2007-02-14,14.3677777777778
"309SAC",2007-02-15,10.46
"309SAG",2007-02-15,12.49
"309SSP",2007-02-15,9.99
"309DAV",2007-03-20,13.775
"309BLA",2007-03-21,13.765
"309SAC",2007-03-22,20.045
"309SAG",2007-03-22,21.225
"309SSP",2007-03-22,22.19
"309DAV",2007-04-04,15.16
"309BLA",2007-04-05,14.895
"309SAG",2007-04-06,19.25
"309SAC",2007-04-16,17.375
"309SSP",2007-04-16,20.09
"309DAV",2007-04-17,14.4238888888889
"309DAV",2007-05-14,16.7966666666667
"309BLA",2007-05-29,16.415
"309SAC",2007-05-29,19.885
"309SAG",2007-05-30,15.555
"309SSP",2007-05-30,16.765
"309BLA",2007-06-26,15.325
"309SAG",2007-06-26,22.235
"309SAC",2007-06-27,14.64
"309SSP",2007-06-27,14.47
"309DAV",2007-07-10,17.6766666666666
"309BLA",2007-07-23,21.255
"309SAC",2007-07-24,22.8
"309SAG",2007-07-24,17.47
"309SSP",2007-07-24,23.185
"309DAV",2007-08-21,21.0188888888889
"309BLA",2007-08-28,18.185
"309SAC",2007-08-29,23.435
"309SAG",2007-08-29,23.065
"309SSP",2007-08-29,23.24
"309DAV",2007-09-18,14.5716666666667
"309BLA",2007-09-25,20.725
"309SAC",2007-09-26,18.6
"309SAG",2007-09-26,23.6
"309SSP",2007-09-26,25.1
"309DAV",2007-10-22,16.61
"309BLA",2007-10-23,22.04
"309SAC",2007-10-23,34.1
"309SAG",2007-10-23,34.6
"309SSP",2007-10-23,33.8
"309DAV",2007-11-26,9.475
"309BLA",2007-11-27,12.385
"309SAC",2007-11-27,16.08
"309SAG",2007-11-28,11.38
"309SSP",2007-11-28,7.9
"309BLA",2007-12-16,11.94
"309SAC",2007-12-17,9.925
"309SAG",2007-12-17,10.01
"309SSP",2007-12-17,8.305
"309DAV",2008-01-07,12.3427777777778
"309SAC",2008-01-24,6.445
"309SAG",2008-01-24,6.335
"309SSP",2008-01-24,6.69
"309BLA",2008-01-26,12.525
"309DAV",2008-02-19,12.6694444444444
"309BLA",2008-02-23,11.55
"309SAC",2008-02-23,11.095
"309SAG",2008-02-23,13.05
"309SSP",2008-02-23,11.3
"309DAV",2008-03-17,16.215
"309BLA",2008-03-25,17.45
"309SAC",2008-03-25,14.72
"309SAG",2008-03-25,15.03
"309SSP",2008-03-25,15.93
"309DAV",2008-04-14,15.93
"309SAG",2008-04-14,15.665
"309SAC",2008-04-15,8.97
"309BLA",2008-04-16,11.575
"309SSP",2008-04-18,14.26
"309DAV",2008-05-12,17.4416666666666
"309SAC",2008-05-27,17.7
"309SAG",2008-05-27,17.72
"309SSP",2008-05-27,15.7
"309BLA",2008-05-28,16.215
"309DAV",2008-06-09,23.9911111111111
"309SAC",2008-06-24,20.48
"309SAG",2008-06-24,21.575
"309BLA",2008-06-25,13.285
"309SSP",2008-06-25,12.2
"309DAV",2008-07-14,21.4922222222222
"309SAC",2008-07-29,21.19
"309SAG",2008-07-29,19.485
"309SSP",2008-07-29,21.2
"309BLA",2008-07-30,17.345
"309DAV",2008-08-11,18.4561111111111
"309SAC",2008-08-26,23.03
"309SAG",2008-08-26,23.805
"309SSP",2008-08-26,20.1
"309BLA",2008-08-27,22.76
"309DAV",2008-09-17,15.6572222222222
"309BLA",2008-09-30,22.11
"309SAC",2008-09-30,26.2
"309SAG",2008-09-30,26.1
"309SSP",2008-09-30,26.2
"309DAV",2008-10-14,18.9427777777778
"309BLA",2008-10-28,16.115
"309SAC",2008-10-29,10
"309SAG",2008-10-29,10.1
"309SSP",2008-10-29,8.9
"309DAV",2008-11-04,16.9172222222222
"309DAV",2008-11-05,12.05375
"309DAV",2008-11-06,11.574693877551
"309BLA",2008-11-19,13.665
"309SAC",2008-11-19,15.5
"309SAG",2008-11-19,16.7
"309SSP",2008-11-19,13.5
"309DAV",2008-12-02,13.5622222222222
"309BLA",2008-12-17,7.315
"309SAC",2008-12-17,11.1
"309SAG",2008-12-17,11
"309SSP",2008-12-18,8.5
"309DAV",2009-01-06,11.3327777777778
"309DAV",2009-02-04,13.7966666666666
"309DAV",2009-03-04,13.6955555555556
"309DAV",2009-03-25,18.23
"309DAV",2009-04-01,17.2505555555556
"309SAC",2009-04-28,17.145
"309SAG",2009-04-28,17.305
"309SSP",2009-04-28,18.885
"309BLA",2009-04-29,14.095
"309-SALIN-32",2009-05-02,18.5
"309-SALIN-33",2009-05-02,16.86
"309DAV",2009-05-06,21.5838888888889
"309SAC",2009-05-26,24.095
"309SAG",2009-05-26,24.53
"309BLA",2009-05-27,18.63
"309SSP",2009-05-27,17.3
"309DAV",2009-06-03,22.1372222222222
"309SAC",2009-06-23,24.165
"309SAG",2009-06-23,24.955
"309BLA",2009-06-24,19.185
"309SSP",2009-06-24,17
"309DAV",2009-07-09,20.9361111111111
"309SAC",2009-07-28,22.845
"309SAG",2009-07-28,24.625
"309BLA",2009-07-29,20.525
"309SSP",2009-07-29,18.3
"309DAV",2009-08-06,24.8583333333333
"309SAC",2009-08-25,24.145
"309SAG",2009-08-25,26.045
"309SSP",2009-08-25,18.1
"309BLA",2009-08-26,18.615
"309DAV",2009-09-08,26.6666666666667
"309SAC",2009-09-29,23.2
"309SAG",2009-09-29,23.2
"309SSP",2009-09-29,20.1
"309BLA",2009-09-30,19.015
"309SAC",2009-10-27,21.3
"309SAG",2009-10-27,19.6
"309SSP",2009-10-27,15.6
"309BLA",2009-10-28,14.765
"309DAV",2009-11-09,12.0822222222222
"309SAC",2009-11-09,16.99
